metros_cuadrados,habitaciones,banos,antiguedad,precio
142,3,3,8,481600000.0
132,4,1,8,424700000.0
54,2,2,7,236100000.0
146,3,1,16,403300000.0
111,4,1,0,414100000.0
60,4,1,10,229400000.0
142,3,1,7,415700000.0
161,2,2,9,481400000.0
114,3,1,6,340600000.0
127,4,2,2,455300000.0
156,1,2,2,475100000.0
139,1,3,17,430000000.0
143,3,2,4,480200000.0
191,4,3,11,583600000.0
170,1,2,11,474400000.0
189,4,2,18,566300000.0
92,3,2,5,352700000.0
41,1,3,1,232800000.0
127,4,3,11,462700000.0
197,1,1,18,512200000.0
77,3,3,4,330900000.0
169,4,3,11,569000000.0
60,1,3,16,212500000.0
97,3,3,16,345200000.0
61,1,1,9,195600000.0
128,1,3,16,378700000.0
88,2,2,14,288700000.0
98,2,2,11,311700000.0
54,3,3,15,233000000.0
90,2,3,18,285500000.0
147,3,2,7,468700000.0
94,2,2,16,303700000.0
103,1,1,4,311700000.0
170,3,2,15,505100000.0
90,3,2,5,337100000.0
174,1,3,7,535800000.0
60,3,2,17,222000000.0
112,3,1,11,368300000.0
57,2,2,14,179000000.0
171,3,3,8,592600000.0
128,4,3,12,430900000.0
99,1,2,14,306600000.0
53,2,3,9,221400000.0
48,2,1,15,174700000.0
129,4,1,6,428600000.0
92,1,2,16,267200000.0
169,1,2,6,515600000.0
123,2,2,13,376000000.0
131,3,3,14,438700000.0
150,2,1,6,433200000.0
47,1,1,8,168000000.0
74,4,3,18,321100000.0
120,2,1,15,359400000.0
89,1,2,7,301100000.0
143,2,2,17,409800000.0
171,3,2,17,502500000.0
41,2,1,19,138500000.0
173,2,2,6,531200000.0
93,1,3,2,325400000.0
145,1,3,17,436500000.0
43,1,1,9,139200000.0
93,2,3,6,369000000.0
185,3,3,16,547900000.0
83,4,1,13,292900000.0
53,4,2,2,281600000.0
134,1,2,11,393200000.0
87,1,2,12,281600000.0
54,2,1,1,243500000.0
79,4,3,2,360000000.0
121,1,2,4,390800000.0
150,3,2,10,444700000.0
92,3,1,7,300000000.0
63,1,2,11,235200000.0
193,1,1,6,548000000.0
163,4,3,14,536300000.0
80,4,1,16,281500000.0
196,2,1,3,590300000.0
54,4,1,12,215100000.0
84,3,1,17,265800000.0
104,3,3,0,389600000.0
128,1,3,15,370800000.0
110,4,2,12,354300000.0
48,2,3,9,209700000.0
127,3,3,11,452800000.0
168,3,2,1,518700000.0
175,2,3,2,556900000.0
102,2,1,9,298600000.0
178,3,1,1,538000000.0
120,3,2,12,391500000.0
175,2,2,12,501000000.0
72,3,2,17,270300000.0
162,1,1,2,497000000.0
44,1,3,6,173300000.0
80,2,1,13,240800000.0
67,4,2,19,251400000.0
174,2,3,16,533900000.0
111,2,3,11,367700000.0
51,4,1,15,202200000.0
72,4,2,11,269600000.0
87,4,1,14,272500000.0
190,1,3,9,584700000.0
101,3,1,6,312100000.0
76,1,1,19,242900000.0
138,3,2,4,468900000.0
143,1,2,0,462700000.0
74,3,3,16,290600000.0
140,1,1,2,415200000.0
170,4,1,12,514900000.0
40,2,1,13,148200000.0
44,1,3,17,182300000.0
181,3,3,3,588000000.0
142,4,2,17,429700000.0
66,1,2,4,234900000.0
176,1,2,15,475200000.0
54,4,1,0,269600000.0
129,1,1,13,349200000.0
81,2,2,14,241800000.0
163,1,1,8,464500000.0
102,2,2,14,345700000.0
135,2,3,16,431100000.0
91,4,2,3,349500000.0
135,1,3,11,395700000.0
171,4,1,4,533500000.0
190,1,2,4,555600000.0
182,1,1,10,485500000.0
68,3,3,5,308300000.0
75,1,3,6,312200000.0
52,4,3,13,254300000.0
199,2,1,10,559900000.0
110,1,1,12,299900000.0
125,3,1,1,435500000.0
67,4,1,6,268400000.0
105,1,3,19,311800000.0
84,4,3,3,362000000.0
101,3,2,7,363600000.0
173,3,2,19,502600000.0
67,4,1,18,251600000.0
67,1,3,12,252300000.0
147,2,3,13,454200000.0
83,3,3,9,331500000.0
123,1,2,10,380000000.0
69,1,2,1,245100000.0
114,2,3,8,408200000.0
167,3,3,16,510000000.0
131,3,3,2,462400000.0
168,1,2,5,511300000.0
160,1,3,4,514200000.0
66,2,3,4,272500000.0
160,2,1,14,460000000.0
155,3,1,16,436100000.0
42,4,2,8,248300000.0
142,3,3,2,481600000.0
194,1,3,19,546600000.0
176,3,1,16,485300000.0
101,4,2,9,398800000.0
90,2,1,2,290400000.0
191,4,1,17,554400000.0
98,4,1,17,303000000.0
157,4,1,16,459200000.0
199,2,3,2,628300000.0
135,4,3,2,509900000.0
152,4,1,5,509400000.0
101,4,2,12,333400000.0
91,1,2,14,284500000.0
51,4,2,8,265400000.0
78,2,2,3,270700000.0
169,4,1,13,508200000.0
170,4,3,4,573000000.0
152,2,2,1,493200000.0
140,4,1,10,428400000.0
152,2,2,8,444500000.0
120,4,2,2,405300000.0
152,2,1,8,460600000.0
41,4,3,2,273100000.0
169,4,3,1,584000000.0
93,1,1,11,266500000.0
126,1,3,9,378700000.0
168,4,1,8,524500000.0
186,4,1,14,526500000.0
165,3,1,7,485800000.0
169,2,3,4,531700000.0
92,3,1,10,302000000.0
199,1,2,1,578100000.0
199,1,3,14,571000000.0
107,1,3,5,358200000.0
162,1,3,7,509500000.0
184,4,3,4,623500000.0
77,1,2,15,244100000.0
63,4,3,17,273400000.0
108,4,3,5,446800000.0
155,1,1,4,432900000.0
137,1,3,15,394000000.0
178,2,2,12,529400000.0
183,3,2,4,599700000.0
136,1,2,12,395100000.0
163,2,2,16,495400000.0
109,2,3,17,352900000.0
132,3,3,7,443800000.0
42,4,2,12,194100000.0
187,1,2,18,517900000.0
186,3,3,2,590300000.0
129,1,2,7,397700000.0
186,2,1,1,575800000.0
187,2,2,7,551900000.0
135,4,2,12,461200000.0
91,2,1,12,263300000.0
167,2,1,0,499500000.0
78,3,3,5,303900000.0
121,1,3,18,364600000.0
143,1,1,15,399200000.0
168,3,1,7,505100000.0
50,4,3,0,303400000.0
190,1,2,15,513800000.0
198,2,1,8,564400000.0
81,1,3,12,273600000.0
138,2,2,10,430400000.0
46,4,1,12,206600000.0
183,3,2,9,564200000.0
129,1,3,3,412400000.0
151,3,1,5,454200000.0
99,1,2,6,313900000.0
152,2,1,4,454400000.0
41,3,2,10,198800000.0
168,1,3,12,509600000.0
87,2,3,18,280800000.0
179,3,1,9,501500000.0
76,3,2,9,320300000.0
199,1,1,10,525500000.0
48,1,1,6,189500000.0
138,1,2,17,389500000.0
186,2,2,3,569800000.0
87,1,2,1,309500000.0
170,3,3,13,525200000.0
187,3,1,12,543500000.0
191,1,1,11,512900000.0
93,1,3,6,347000000.0
159,4,2,1,543000000.0
191,3,3,12,595500000.0
155,2,3,13,470900000.0
114,4,3,16,393500000.0
152,1,1,8,413200000.0
143,1,3,16,419200000.0
123,3,1,7,376000000.0
151,1,1,1,469200000.0
138,2,1,12,399800000.0
192,3,2,2,601600000.0
132,1,1,15,356600000.0
185,3,1,5,555500000.0
167,1,2,18,495500000.0
149,1,1,6,425000000.0
121,1,3,9,380700000.0
93,2,3,8,346400000.0
107,2,1,1,316600000.0
72,3,2,14,264000000.0
181,1,3,4,549900000.0
60,1,2,3,221100000.0
87,2,2,19,278100000.0
187,1,3,3,574300000.0
167,2,2,17,449500000.0
175,1,3,3,533800000.0
174,3,2,16,468700000.0
184,1,3,11,546400000.0
167,1,1,16,448700000.0
72,4,3,9,301100000.0
154,2,3,0,523100000.0
158,1,3,17,439800000.0
61,1,3,17,202000000.0
197,4,2,13,599800000.0
77,4,1,14,260200000.0
148,2,3,11,466100000.0
90,4,2,3,347500000.0
47,3,1,2,210300000.0
66,4,1,19,222500000.0
66,3,1,11,226400000.0
60,2,1,6,226500000.0
69,2,3,10,263100000.0
136,2,3,0,470200000.0
67,2,2,5,251600000.0
150,2,2,14,420000000.0
100,3,2,14,346700000.0
87,3,1,18,276000000.0
186,2,1,10,559300000.0
43,4,3,1,248800000.0
74,1,1,13,217900000.0
88,2,1,1,305100000.0
56,4,1,3,265800000.0
197,1,2,16,531900000.0
85,2,2,2,298900000.0
156,2,3,12,502100000.0
45,3,1,8,188800000.0
138,1,1,6,415200000.0
163,1,3,14,491900000.0
76,4,1,10,279600000.0
63,3,1,19,202900000.0
132,3,2,1,446100000.0
85,3,3,14,315300000.0
134,3,3,13,453900000.0
138,1,3,19,391100000.0
155,1,3,10,474100000.0
199,2,2,2,584700000.0
106,2,2,16,312100000.0
167,3,1,11,489000000.0
57,3,1,14,176100000.0
64,3,1,15,250900000.0
93,2,1,4,292600000.0
97,4,2,19,324900000.0
106,4,3,5,427500000.0
143,2,2,18,400600000.0
63,2,1,4,201000000.0
153,2,2,2,479800000.0
71,2,3,0,294400000.0
125,2,3,5,393400000.0
190,2,2,14,547300000.0
166,3,2,1,540100000.0
194,3,2,2,621100000.0
169,3,1,16,462700000.0
56,3,2,11,208000000.0
143,2,2,17,410400000.0
176,4,2,14,536700000.0
82,1,3,11,300800000.0
78,2,3,15,301200000.0
65,1,1,7,234700000.0
138,4,1,13,430100000.0
89,3,3,16,331500000.0
192,4,3,7,609400000.0
191,2,3,14,568000000.0
52,3,2,13,198100000.0
99,2,2,17,307400000.0
174,3,3,19,524300000.0
96,1,2,6,342800000.0
75,1,2,2,273100000.0
59,1,1,11,190900000.0
104,4,3,2,417600000.0
47,2,3,19,183700000.0
183,4,2,13,546500000.0
181,1,3,14,545000000.0
154,2,1,13,421300000.0
182,1,1,6,492100000.0
131,4,1,16,409700000.0
137,4,3,11,486900000.0
105,4,3,19,358700000.0
71,1,3,3,277000000.0
125,2,3,8,422700000.0
90,2,3,5,329400000.0
192,1,1,15,498300000.0
102,2,2,1,375200000.0
164,1,1,7,473100000.0
189,2,3,10,592200000.0
97,3,1,12,292700000.0
97,3,3,16,332000000.0
125,4,3,7,455700000.0
88,3,1,17,260100000.0
109,3,3,17,376100000.0
54,3,2,13,239400000.0
93,1,3,14,296700000.0
140,3,2,5,460600000.0
47,3,2,10,234300000.0
92,4,3,12,381000000.0
99,3,1,0,363700000.0
147,3,2,5,486400000.0
44,2,1,8,163200000.0
142,4,2,7,479400000.0
45,4,3,10,250900000.0
148,4,3,18,472800000.0
155,4,2,8,494600000.0
133,4,3,16,425300000.0
86,4,2,11,295900000.0
138,1,3,13,391800000.0
94,3,1,14,306700000.0
91,4,3,15,344700000.0
183,3,1,19,498200000.0
52,3,3,0,270000000.0
153,1,1,9,433700000.0
163,4,3,7,544000000.0
145,2,1,17,381400000.0
197,1,2,0,601200000.0
186,2,2,1,576600000.0
184,3,1,0,569000000.0
159,3,3,0,555100000.0
102,1,1,8,293800000.0
58,1,3,12,242200000.0
131,2,2,0,435400000.0
97,4,3,12,379800000.0
129,2,2,19,386500000.0
156,1,3,6,471400000.0
101,2,3,1,387000000.0
62,1,3,5,259900000.0
166,2,1,6,487500000.0
176,1,1,13,474600000.0
179,1,2,17,490200000.0
168,1,2,14,485200000.0
97,4,1,1,368200000.0
161,2,2,9,486000000.0
40,2,1,11,134600000.0
73,2,3,16,271900000.0
135,1,2,7,422400000.0
165,2,2,10,527000000.0
157,2,1,2,492600000.0
87,1,2,5,269000000.0
128,3,2,8,422200000.0
156,1,3,5,517200000.0
168,2,2,8,515400000.0
55,1,3,6,239400000.0
108,3,1,8,364500000.0
61,1,2,17,187200000.0
132,2,3,11,434200000.0
115,3,1,7,367700000.0
193,4,2,7,601200000.0
183,2,1,17,508900000.0
125,3,2,19,366600000.0
68,3,1,14,252300000.0
108,4,1,6,365700000.0
86,1,3,10,303900000.0
133,1,1,19,329500000.0
183,2,2,15,533300000.0
124,4,2,3,462700000.0
78,1,3,5,287300000.0
139,4,2,2,464800000.0
72,1,2,8,255200000.0
140,3,2,9,469800000.0
62,1,1,13,169300000.0
49,4,1,10,195900000.0
108,3,2,17,337200000.0
139,3,3,11,447200000.0
73,3,1,11,242200000.0
177,4,3,12,535100000.0
186,2,2,12,547800000.0
135,2,2,18,398600000.0
40,2,1,18,110500000.0
108,4,2,13,392900000.0
43,3,1,3,228700000.0
55,2,2,12,200200000.0
63,4,2,7,294000000.0
119,2,1,18,324900000.0
41,1,1,11,147200000.0
167,2,1,17,444000000.0
199,2,2,5,625700000.0
123,3,2,17,377100000.0
191,4,3,18,585400000.0
179,3,1,4,530200000.0
163,3,2,8,536400000.0
72,3,2,2,327300000.0
140,3,1,9,452500000.0
51,3,3,18,232800000.0
106,2,1,2,339600000.0
104,3,3,14,375400000.0
113,3,2,0,407400000.0
82,4,3,6,366700000.0
83,1,2,11,286200000.0
68,2,1,16,202300000.0
180,2,1,19,497200000.0
51,2,1,4,215700000.0
134,3,3,3,429400000.0
85,3,2,11,316500000.0
169,3,1,19,464000000.0
74,4,1,17,240700000.0
120,1,2,16,334400000.0
129,3,1,18,371500000.0
47,1,2,8,195700000.0
132,4,2,3,440500000.0
193,2,2,1,592300000.0
129,3,2,3,447200000.0
154,1,2,1,504900000.0
144,1,3,14,416800000.0
174,3,1,1,531800000.0
97,2,3,3,367400000.0
153,2,1,5,474700000.0
114,2,3,6,392400000.0
196,4,2,9,621000000.0
159,1,1,18,389400000.0
60,1,1,18,152200000.0
177,1,3,11,529700000.0
140,4,3,2,482800000.0
191,1,1,12,498900000.0
138,4,3,17,446100000.0
75,2,3,7,308100000.0
135,3,3,14,412100000.0
191,1,2,0,575100000.0
190,1,2,2,579500000.0
76,2,3,7,296100000.0
51,3,3,3,258000000.0
152,4,2,15,481000000.0
52,3,2,9,225100000.0
62,2,1,11,232900000.0
138,2,1,13,379300000.0
144,3,2,13,445200000.0
69,4,3,1,332600000.0
56,4,3,4,282300000.0
152,1,3,4,439900000.0
101,4,3,5,395100000.0
123,3,1,12,390000000.0
151,2,2,8,475200000.0
125,1,3,14,390800000.0
180,1,1,13,469500000.0
58,2,3,6,262900000.0
139,4,2,19,421900000.0
179,2,1,1,539800000.0
186,4,2,6,588800000.0
115,2,2,5,367900000.0
48,3,1,16,163600000.0
